กอ	k ɔː
รังนก	r a ŋ . n o k̚ 3
เอ็นดู	ʔ e n . d uː
ราตรีสวัสดิ์	r aː . t r iː . s a 1 . w a t̚ 1
กลฉ้อฉล	k o n . t͡ɕʰ ɔː 2 . t͡ɕʰ o n 4
บัว	b u a̯
ไม้หมอน	m a j 3 . m ɔː n 4
ฝาน	f aː n 4
มิค	m i k̚ 3
เกา	k a w
กระติก	k r a 1 . t i k̚ 1
มะริด	m a 3 . r i t̚ 3
เส้นเลือด	s e n 2 . l ɯ a̯ t̚ 2
อับอาย	ʔ a p̚ 1 . ʔ aː j
กรรม	k a m
ความคลาด	kʰ w aː m . kʰ l aː t̚ 2
วงโคจร	w o ŋ . kʰ oː . t͡ɕ ɔː n
ไถ่	tʰ a j 1
ปะการัง	p a 1 . k aː . r a ŋ
อุบัติ	ʔ u 1 . b a t̚ 1
พ่อขุน	pʰ ɔː 2 . kʰ u n 4
ความอัปยศ	kʰ w aː m . ʔ a p̚ 1 . p a 1 . j o t̚ 3
ชายคา	t͡ɕʰ aː j . kʰ aː
ต่างเพศ	t aː ŋ 1 . pʰ eː t̚ 2
ล่วงล้ำ	l u a̯ ŋ 2 . l a m 3
ลูกครึ่ง	l uː k̚ 2 . kʰ r ɯ ŋ 2
ดังก้อง	d a ŋ . k ɔ ŋ 2
เครื่องหมายวรรคตอน	kʰ r ɯ a̯ ŋ 2 . m aː j 4 . w a k̚ 3 . t ɔː n
ซองจดหมาย	s ɔː ŋ . t͡ɕ o t̚ 1 . m aː j 4
กล่อง	k l ɔ ŋ 1
รังสีเอกซ์	r a ŋ . s iː 4 . ʔ e k̚ 1
ช่างทอง	t͡ɕʰ aː ŋ 2 . tʰ ɔː ŋ
ปุย	p u j
ว่าย	w aː j 2
เงามัว	ŋ a w . m u a̯
หวย	h u a̯ j 4
ธารกำนัล	tʰ aː . r a 3 . k a m . n a n
เสนอ	s a 1 . n ɤː 4
อุตส่าห์	ʔ u t̚ 1 . s aː 1
ว่าความ	w aː 2 . kʰ w aː m
ร้านกาแฟ	r aː n 3 . k aː . f ɛː
โหด	h oː t̚ 1
ที่ใด	tʰ iː 2 . d a j
แกน	k ɛː n
รับผิด	r a p̚ 3 . pʰ i t̚ 1
ปลอบใจ	p l ɔː p̚ 1 . t͡ɕ a j
อกรรมกริยา	ʔ a 1 . k a m . k r i 1 . j aː
เม็ด	m e t̚ 3
ทิวลิป	tʰ i w . l i p̚ 1
ท้องเดิน	tʰ ɔː ŋ 3 . d ɤː n
ข้าวโพด	kʰ aː w 2 . pʰ oː t̚ 2
นักเดินทาง	n a k̚ 3 . d ɤː n . tʰ aː ŋ
งัวเงีย	ŋ u a̯ . ŋ i a̯
เห็นกงจักรเป็นดอกบัว	h e n 4 . k o ŋ . t͡ɕ a k̚ 1 . p e n . d ɔː k̚ 1 . b u a̯
ตะวันตกเฉียงใต้	t a 1 . w a n . t o k̚ 1 . t͡ɕʰ i a̯ ŋ 4 . t aː j 2
หมก	m o k̚ 1
ฟืน	f ɯː n
มิเตอร์	m i 3 . t ɤː 2
ม้ามืด	m aː 3 . m ɯː t̚ 2
บันดาล	b a n . d aː n
นางอาย	n aː ŋ . ʔ aː j
ศิลา	s i 1 . l aː
ยาถ่าย	j aː . tʰ aː j 1
มาส	m aː t̚ 2
ผลไม้	pʰ o n 4 . l a 3 . m aː j 3
โฉด	t͡ɕʰ oː t̚ 1
ยูโร	j uː . r oː
เครื่องช่วยฟัง	kʰ r ɯ a̯ ŋ 2 . t͡ɕʰ u a̯ j 2 . f a ŋ
ฤดูฝน	r ɯ 3 . d uː . f o n 4
สวดมนต์	s u a̯ t̚ 1 . m o n
ชนะ	t͡ɕʰ a 3 . n a ʔ 3
หมูหริ่ง	m uː 4 . r i ŋ 1
สแควร์	s a 1 . kʰ w ɛː
สนามเด็กเล่น	s a 1 . n aː m 4 . d e k̚ 1 . l e n 2
พีช	pʰ iː t̚ 3
สำเร็จความใคร่	s a m 4 . r e t̚ 1 . kʰ w aː m . kʰ r a j 2
การปฏิวัติ	k aː n . p a 1 . t i 1 . w a t̚ 3
จุดยืน	t͡ɕ u t̚ 1 . j ɯː n
ทรัสต์	tʰ r a s 3
ฐานันดร	tʰ aː 4 . n a n . d ɔː n
พรั่น	pʰ r a n 2
หับเผย	h a p̚ 1 . pʰ ɤː j 4
มโนกรรม	m a 3 . n oː . k a m
ละออง	l a 3 . ʔ ɔː ŋ
ไย	j a j
ซีอิ๊ว	s iː . ʔ i w 3
ฟุ่มเฟือย	f u m 2 . f ɯ a̯ j
พาย	pʰ aː j
ไกล่เกลี่ย	k l a j 1 . k l i a̯ 1
นิติบุคคล	n i 3 . t i 1 . b u k̚ 1 . kʰ o n
ความพร้อม	kʰ w aː m . pʰ r ɔː m 3
ทรงผม	s o ŋ . pʰ o m 4
สนุกสนาน	s a 1 . n u k̚ 1 . s a 1 . n aː n 4
ส.ค.ส.	s ɔː 4 . kʰ ɔː . s ɔː 4
ร้าน	r aː n 3
สปอร์	s a 1 . p ɔː
หิมะ	h i 1 . m a ʔ 3
ประภาคาร	p r a 1 . pʰ aː . kʰ aː n
ความชอบธรรม	kʰ w aː m . t͡ɕʰ ɔː p̚ 2 . tʰ a m
ซามัว	s aː . m u a̯
กาฬ	k aː n
สำปะหลัง	s a m 4 . p a 1 . l a ŋ 4
แมริแลนด์	m ɛː . r i 3 . l ɛː n
ขยับ	kʰ a 1 . j a p̚ 1
มัสยิด	m a t̚ 3 . s a 1 . j i t̚ 3
ห้วย	h u a̯ j 2
ปิด	p i t̚ 1
นักวิทยาศาสตร์	n a k̚ 3 . w i t̚ 3 . tʰ a 3 . j aː . s aː t̚ 1
คาด	kʰ aː t̚ 2
มัว	m u a̯
จุดศูนย์กลาง	t͡ɕ u t̚ 1 . s uː n 4 . k l aː ŋ
ฏ	t ɔː
เงอะงะ	ŋ ɤ ʔ 3 . ŋ a ʔ 3
ยุทธศาสตร์	j u t̚ 3 . tʰ a 3 . s aː t̚ 1
ร่ำรี้ร่ำไร	r a m 2 . r iː 3 . r a m 2 . r a j
รูปภาพ	r uː p̚ 2 . pʰ aː p̚ 2
พัง	pʰ a ŋ
ฝีมือ	f iː 4 . m ɯː
เปลี่ยนแปลง	p l i a̯ n 1 . p l ɛː ŋ
บุพบท	b u p̚ 1 . pʰ a 3 . b o t̚ 1
เชย	t͡ɕʰ ɤː j
มอเตอร์	m ɔː . t ɤː 2
เจิม	t͡ɕ ɤː m
ค่าย	kʰ aː j 2
นิกาย	n i 3 . k aː j
เฮี้ยน	h i a̯ n 3
ความกล้าหาญ	kʰ w aː m . k l aː 2 . h aː n 4
ประชาสัมพันธ์	p r a 1 . t͡ɕʰ aː . s a m 4 . pʰ a n
เกี่ยว	k i a̯ w 1
พินัยกรรม	pʰ i 3 . n a j . k a m
บรรณารักษ์	b a n . n aː . r a k̚ 3
นิ้วหัวแม่มือ	n i w 3 . h u a̯ 4 . m ɛː 2 . m ɯː
ทับทรวง	tʰ a p̚ 3 . s u a̯ ŋ
ยาแก้ปวด	j aː . k ɛː 2 . p u a̯ t̚ 1
แจ็กเก็ต	t͡ɕ ɛ k̚ 1 . k e t̚ 1
แบบ	b ɛː p̚ 1
คิมหันต์	kʰ i m . h a n 4
บล็อก	b l ɔ k̚ 3
ห้ำหั่น	h a m 2 . h a n 1
เดี่ยว	d i a̯ w 1
สายฟ้า	s aː j 4 . f aː 3
ราคา	r aː . kʰ aː
รามายณะ	r aː . m aː . j a 3 . n a ʔ 3
เหลี่ยม	l i a̯ m 1
รู้ตัว	r uː 3 . t u a̯
โพรมีเทียม	pʰ r oː . m iː . tʰ i a̯ m 2
เศษส่วน	s eː t̚ 1 . s u a̯ n 1
กำสรวล	k a m . s u a̯ n 4
จุดเยือกแข็ง	t͡ɕ u t̚ 1 . j ɯ a̯ k̚ 2 . kʰ ɛ ŋ 4
แม่ผัว	m ɛː 2 . pʰ u a̯ 4
เถรวาท	tʰ eː 4 . r a 3 . w aː t̚ 2
งั่ง	ŋ a ŋ 2
โอกาส	ʔ oː . k aː t̚ 1
ม่าน	m aː n 2
ล่ำ	l a m 2
ค้นหา	kʰ o n 3 . h aː 4
ฤๅษี	r ɯː . s iː 4
ร้อนใน	r ɔː n 3 . n a j
ปัสสาวะ	p a t̚ 1 . s aː 4 . w a ʔ 3
สหพันธรัฐ	s a 1 . h a 1 . pʰ a n . tʰ a 3 . r a t̚ 3
ระบุ	r a 3 . b u ʔ 1
ต้มยำ	t o m 2 . j a m
ยินดี	j i n . d iː
เกินไป	k ɤː n . p a j
เปาะเปี๊ยะ	p ɔ ʔ 1 . p i a̯ ʔ 3
เพ้อเจ้อ	pʰ ɤː 3 . t͡ɕ ɤː 2
เครื่องล้างจาน	kʰ r ɯ a̯ ŋ 2 . l aː ŋ 3 . t͡ɕ aː n
จินดา	t͡ɕ i n . d aː
ชีวิต	t͡ɕʰ iː . w i t̚ 3
ตุ้งติ้ง	t u ŋ 2 . t i ŋ 2
ขิม	kʰ i m 4
สวามี	s a 1 . w aː 4 . m iː
ม.ค.	m ɔː . kʰ ɔː
สีห์	s iː 4
เกือกแตะ	k ɯ a̯ k̚ 1 . t ɛ ʔ 1
ตากล้อง	t aː . k l ɔ ŋ 2
อดกลั้น	ʔ o t̚ 1 . k l a n 2
สัตว์กินเนื้อ	s a t̚ 1 . k i n . n ɯ a̯ 3
กระโชก	k r a 1 . t͡ɕʰ oː k̚ 2
โอมาน	ʔ oː . m aː n
โรงรถ	r oː ŋ . r o t̚ 3
โซล	s oː l
เกลศ	k a 1 . l eː t̚ 1
ค้ำ	kʰ a m 3
แฮมเบอร์เกอร์	h ɛ m . b ɤː . k ɤː 2
เข้าเกณฑ์	kʰ a w 2 . k eː n
ชาวประมง	t͡ɕʰ aː w . p r a 1 . m o ŋ
แกงได	k ɛː ŋ . d a j
ง่ายดาย	ŋ aː j 2 . d aː j
ล่อแหลม	l ɔː 2 . l ɛː m 4
กิ่งทองใบหยก	k i ŋ 1 . tʰ ɔː ŋ . b a j . j o k̚ 1
เอียง	ʔ i a̯ ŋ
เดียว	d i a̯ w
กำนัล	k a m . n a n
ไส้เดือน	s a j 2 . d ɯ a̯ n
จาเมกา	t͡ɕ aː . m eː . k aː 2
จิ้งเหลน	t͡ɕ i ŋ 2 . l eː n 4
ขบถ	kʰ a 1 . b o t̚ 1
หมาหวงก้าง	m aː 4 . h u a̯ ŋ 4 . k aː ŋ 2
ซุป	s u p̚ 3
จุดศูนย์ถ่วง	t͡ɕ u t̚ 1 . s uː n 4 . tʰ u a̯ ŋ 1
ลูกช้าง	l uː k̚ 2 . t͡ɕʰ aː ŋ 3
ไฮโดรคาร์บอน	h a j . d r oː . kʰ aː . b ɔ n 2
ข้าวกล้อง	kʰ aː w 2 . k l ɔː ŋ 2
ตะวันตก	t a 1 . w a n . t o k̚ 1
สมุทรสงคราม	s a 1 . m u t̚ 1 . s o ŋ 4 . kʰ r aː m
ฟอง	f ɔː ŋ
กองทุน	k ɔː ŋ . tʰ u n
วาสนา	w aː t̚ 2 . s a 1 . n aː 4
คำถาม	kʰ a m . tʰ aː m 4
นัดหมาย	n a t̚ 3 . m aː j 4
ซูดาน	s uː . d aː n
กลองทัด	k l ɔː ŋ . tʰ a t̚ 3
ผู้ขับ	pʰ uː 2 . kʰ a p̚ 1
คูถ	kʰ uː t̚ 2
เบญจา	b e n . t͡ɕ aː
เตาอบ	t a w . ʔ o p̚ 1
ปากหวาน	p aː k̚ 1 . w aː n 4
ฝันร้าย	f a n 4 . r aː j 3
ดอม	d ɔː m
ดอกไม้เพลิง	d ɔː k̚ 1 . m aː j 3 . pʰ l ɤː ŋ
รามัญ	r aː . m a n
วนอุทยาน	w a 3 . n a 3 . ʔ u t̚ 1 . tʰ a 3 . j aː n
กรัม	k r a m
ซ่า	s aː 2
ไมตรี	m a j . t r iː
อกตัญญู	ʔ a 1 . k a 1 . t a n . j uː
สมรส	s o m 4 . r o t̚ 3
ซ้อน	s ɔː n 3
ตรีศก	t r iː . s o k̚ 1
วิตก	w i 3 . t o k̚ 1
ชมพู	t͡ɕʰ o m . pʰ uː
ผลัก	pʰ l a k̚ 1
เป้าหมาย	p a w 2 . m aː j 4
พระราชกำหนด	pʰ r a 3 . r aː t̚ 2 . t͡ɕʰ a 3 . k a m . n o t̚ 1
อำนวย	ʔ a m . n u a̯ j
แดนเซอร์	d ɛː n 3 . s ɤː 2
นพ	n o p̚ 3
กำแพงเพชร	k a m . pʰ ɛː ŋ . pʰ e t̚ 3
ขั้น	kʰ a n 2
เจ้า	t͡ɕ aː w 2
ครุฑ	kʰ r u t̚ 3
อัญชัน	ʔ a n . t͡ɕʰ a n
อายัด	ʔ aː . j a t̚ 3
เทียน	tʰ i a̯ n
สถานกงสุล	s a 1 . tʰ aː n 4 . k o ŋ . s u n 4
ลูกเล่น	l uː k̚ 2 . l e n 2
หมายเลข	m aː j 4 . l eː k̚ 2
ประกาย	p r a 1 . k aː j
รอบ	r ɔː p̚ 2
แฝง	f ɛː ŋ 4
ไขมัน	kʰ a j 4 . m a n
ต่างประเทศ	t aː ŋ 1 . p r a 1 . tʰ eː t̚ 2
โทรศัพท์เคลื่อนที่	tʰ oː . r a 3 . s a p̚ 1 . kʰ l ɯ a̯ n 2 . tʰ iː 2
วายุ	w aː . j u ʔ 3
ฮอกกี้	h ɔ k̚ 3 . k iː 2
ดอลล่าร์	d ɔ n . l aː 2
แสะ	s ɛ ʔ 1
ข้าวผัด	kʰ aː w 2 . pʰ a t̚ 1
ริมฝีปาก	r i m . f iː 4 . p aː k̚ 1
ลำเลียง	l a m . l i a̯ ŋ
นักษัตร	n a k̚ 3 . s a t̚ 1
หลงตัวเอง	l o ŋ 4 . t u a̯ . ʔ eː ŋ
ชาว	t͡ɕʰ aː w
คว้าน	kʰ w aː n 3
นำพา	n a m . pʰ aː
ฉนาก	t͡ɕʰ a 1 . n aː k̚ 1
หวานใจ	w aː n 4 . t͡ɕ a j
คาเฟ่	kʰ aː . f eː 2
ด้ำ	d a m 2
แขก	kʰ ɛː k̚ 1
ซ่อง	s ɔ ŋ 2
วิศวกร	w i t̚ 3 . s a 1 . w a 3 . k ɔː n
นักประชาธิปไตย	n a k̚ 3 . p r a 1 . t͡ɕʰ aː . tʰ i 3 . p a 1 . t a j
หงสบาท	h o ŋ 4 . s a 1 . b aː t̚ 1
ปฏัก	p a 1 . t a k̚ 1
ลูกหลวง	l uː k̚ 2 . l u a̯ ŋ 4
ยอมแพ้	j ɔː m . pʰ ɛː 3
กิโมโน	k i 1 . m oː . n oː
ลีเมอร์	l iː . m ɤː 2
วัตถุนิยม	w a t̚ 3 . tʰ u 1 . n i 3 . j o m
กระดูก	k r a 1 . d uː k̚ 1
ลำคอ	l a m . kʰ ɔː
ไบเบิล	b a j . b ɤ l 2
มัตสยา	m a t̚ 3 . s a 1 . j aː 4
หีนยาน	h iː 4 . n a 3 . j aː n
คำนวณ	kʰ a m . n u a̯ n
กระจอก	k r a 1 . t͡ɕ ɔː k̚ 1
พรสวรรค์	pʰ ɔː n . s a 1 . w a n 4
อะเมริเซียม	ʔ a 1 . m eː . r i 3 . s i a̯ m 2
ท่อง	tʰ ɔ ŋ 2
บิ๊ก	b i k̚ 3
นวม	n u a̯ m
เทพนิยาย	tʰ eː p̚ 2 . n i 3 . j aː j
สมเสร็จ	s o m 4 . s e t̚ 1
กล้วยไม้	k l u a̯ j 2 . m aː j 3
มีด	m iː t̚ 2
เคลื่อน	kʰ l ɯ a̯ n 2
โสโครก	s oː 4 . kʰ r oː k̚ 2
ท้องตรา	tʰ ɔː ŋ 3 . t r aː
จังหัน	t͡ɕ a ŋ . h a n 4
งก ๆ	ŋ o k̚ 3 . ŋ o k̚ 3
เผื่อ	pʰ ɯ a̯ 1
บรม	b ɔː . r o m
เนื้อเพลง	n ɯ a̯ 3 . pʰ l eː ŋ
ไม่น่าเชื่อ	m a j 2 . n aː 2 . t͡ɕʰ ɯ a̯ 2
ข่มเหง	kʰ o m 1 . h eː ŋ 4
ปัจฉิม	p a t̚ 1 . t͡ɕʰ i m 4
มัสมั่น	m a t̚ 3 . s a 1 . m a n 1
กลับตัว	k l a p̚ 1 . t u a̯
นิ่ว	n i w 2
วัฒนะ	w a t̚ 3 . tʰ a 3 . n a ʔ 3
เอาใจออกห่าง	ʔ a w . t͡ɕ a j . ʔ ɔː k̚ 1 . h aː ŋ 1
ผู้ร้าย	pʰ uː 2 . r aː j 3
น่านน้ำ	n aː n 2 . n aː m 3
ออกเรือน	ʔ ɔː k̚ 1 . r ɯ a̯ n
บทบาท	b o t̚ 1 . b aː t̚ 1
ถึก	tʰ ɯ k̚ 1
สุริยคราส	s u 1 . r i 3 . j a 3 . kʰ r aː t̚ 2
ทูตสวรรค์	tʰ uː t̚ 2 . s a 1 . w a n 4
หับ	h a p̚ 1
ปอก	p ɔː k̚ 1
กริยาวิเศษณ์	k r i 1 . j aː . w i 3 . s eː t̚ 1
โหราศาสตร์	h oː 4 . r aː . s aː t̚ 1
คงตัว	kʰ o ŋ . t u a̯
ขี้หู	kʰ iː 2 . h uː 4
ภุชงคประยาต	pʰ u 3 . t͡ɕʰ o ŋ . kʰ a 3 . p r a 1 . j aː t̚ 2
โจรกรรม	t͡ɕ oː . r a 3 . k a m
เนแบรสกา	n eː . b r ɛ s 3 . k aː 2
ก้าวล่วง	k aː w 2 . l u a̯ ŋ 2
ลูกเสือลูกตะเข้	l uː k̚ 2 . s ɯ a̯ 4 . l uː k̚ 2 . t a 1 . kʰ eː 2
ตำรา	t a m . r aː
เล่นหูเล่นตา	l e n 2 . h uː 4 . l e n 2 . t aː
แท่ง	tʰ ɛ ŋ 2
ความร้อน	kʰ w aː m . r ɔː n 3
ลิกเตนสไตน์	l i k̚ 3 . t eː n 2 . s a 1 . t aː j
ตู้ไปรษณีย์	t uː 2 . p r a j . s a 1 . n iː
การเช่า	k aː n . t͡ɕʰ a w 2
เศรษฐี	s eː t̚ 1 . tʰ iː 4
สังหาริมทรัพย์	s a ŋ 4 . h aː 4 . r i 3 . m a 3 . s a p̚ 3
ทักษิโณทก	tʰ a k̚ 3 . s i 1 . n oː . tʰ o k̚ 3
เด็ด	d e t̚ 1
ปาฏิหาริย์	p aː . t i 1 . h aː n 4
พาสปอร์ต	pʰ aː t̚ 3 . s a 1 . p ɔː t̚ 1
เชียงราย	t͡ɕʰ i a̯ ŋ . r aː j
หล่น	l o n 1
มิถุนา	m i 3 . tʰ u 1 . n aː
ห้องนอน	h ɔ ŋ 2 . n ɔː n
หมั่นโถว	m a n 1 . tʰ oː w 4
ผู้โดยสาร	pʰ uː 2 . d oː j . s aː n 4
หัวโบราณ	h u a̯ 4 . b oː . r aː n
ปู่	p uː 1
โยคะ	j oː . kʰ a ʔ 3
เปลว	p l eː w
ตะเคียน	t a 1 . kʰ i a̯ n
ไต้ฝุ่น	t a j 2 . f u n 1
หาว	h aː w 4
วิก	w i k̚ 3
เมา	m a w
เจ๊ก	t͡ɕ e k̚ 3
หวานเย็น	w aː n 4 . j e n
ตับแข็ง	t a p̚ 1 . kʰ ɛ ŋ 4
สีกา	s iː 4 . k aː
ความจำ	kʰ w aː m . t͡ɕ a m
โศภา	s oː 4 . pʰ aː
ยี่	j iː 2
ชื่อเสียง	t͡ɕʰ ɯː 2 . s i a̯ ŋ 4
การเมือง	k aː n . m ɯ a̯ ŋ
สิน	s i n 4
ตะพัง	t a 1 . pʰ a ŋ
จักรพรรดินี	t͡ɕ a k̚ 1 . k r a 1 . pʰ a t̚ 3 . d i 1 . n iː
บางกอก	b aː ŋ . k ɔː k̚ 1
อัตราเร็ว	ʔ a t̚ 1 . t r aː . r e w
ประท้วง	p r a 1 . tʰ u a̯ ŋ 3
สม่ำเสมอ	s a 1 . m a m 1 . s a 1 . m ɤː 4
ดก	d o k̚ 1
ทุบทู	tʰ u p̚ 3 . tʰ uː
ใต้ฝ่าละอองธุลีพระบาท	t aː j 2 . f aː 1 . l a 3 . ʔ ɔː ŋ . tʰ u 3 . l iː . pʰ r a 3 . b aː t̚ 1
ป่า	p aː 1
ภารกิจ	pʰ aː . r a 3 . k i t̚ 1
นครปฐม	n a 3 . kʰ ɔː n . p a 1 . tʰ o m 4
ข้อแก้ตัว	kʰ ɔː 2 . k ɛː 2 . t u a̯
ผมปลอม	pʰ o m 4 . p l ɔː m
โซ่	s oː 2
ทางช้างเผือก	tʰ aː ŋ . t͡ɕʰ aː ŋ 3 . pʰ ɯ a̯ k̚ 1
เหลียวแล	l i a̯ w 4 . l ɛː
หน้าอก	n aː 2 . ʔ o k̚ 1
ขูด	kʰ uː t̚ 1
เที่ยงธรรม	tʰ i a̯ ŋ 2 . tʰ a m
รู้	r uː 3
มัลดีฟส์	m a l . d iː f 3
โภชนะ	pʰ oː t̚ 2 . t͡ɕʰ a 3 . n a ʔ 3
แชมพู	t͡ɕʰ ɛː m . pʰ uː
ตู	t uː
วาน	w aː n
กลางวัน	k l aː ŋ . w a n
ถ่านหิน	tʰ aː n 1 . h i n 4
สาวไส้	s aː w 4 . s a j 2
ฉี่	t͡ɕʰ iː 1
ผัง	pʰ a ŋ 4
กากเพชร	k aː k̚ 1 . pʰ e t̚ 3
นักล้วงกระเป๋า	n a k̚ 3 . l u a̯ ŋ 3 . k r a 1 . p a w 4
ผู้ช่วยศาสตราจารย์	pʰ uː 2 . t͡ɕʰ u a̯ j 2 . s aː t̚ 1 . t r aː . t͡ɕ aː n
ชาติ	t͡ɕʰ aː t̚ 2
สถานีตำรวจ	s a 1 . tʰ aː 4 . n iː . t a m . r u a̯ t̚ 1
โง่	ŋ oː 2
ความทรงจำ	kʰ w aː m . s o ŋ . t͡ɕ a m
เอดส์	ʔ eː t̚ 1
ต่วน	t u a̯ n 1
เรือโท	r ɯ a̯ . tʰ oː
รบกวน	r o p̚ 3 . k u a̯ n
วังหน้า	w a ŋ . n aː 2
แถน	tʰ ɛː n 4
หยอกเอิน	j ɔː k̚ 1 . ʔ ɤː n
เนื้อความ	n ɯ a̯ 3 . kʰ w aː m
เลือดหมู	l ɯ a̯ t̚ 2 . m uː 4
สนญ.	s ɔː 4 . n ɔː . j ɔː
ประกายไฟ	p r a 1 . k aː j . f a j
จำนวนจินตภาพ	t͡ɕ a m . n u a̯ n . t͡ɕ i n . t a 1 . pʰ aː p̚ 2
เจตนา	t͡ɕ eː t̚ 1 . t a 1 . n aː
กระบะ	k r a 1 . b a ʔ 1
นามธรรม	n aː m . m a 3 . tʰ a m
ดูก่อน	d uː . k ɔː n 1
ขี้เหนียว	kʰ iː 2 . n i a̯ w 4
แปะ	p ɛ ʔ 1
องคชาต	ʔ o ŋ . kʰ a 3 . t͡ɕʰ aː t̚ 2
ประเภท	p r a 1 . pʰ eː t̚ 2
คาว	kʰ aː w
เพื่อนแท้	pʰ ɯ a̯ n 2 . tʰ ɛː 3
ซี่โครง	s iː 2 . kʰ r oː ŋ
เปอร์เซ็นต์	p ɤː . s e n
สร้าง	s aː ŋ 2
หินชั้น	h i n 4 . t͡ɕʰ a n 3
เส้นสาย	s e n 2 . s aː j 4
โอริยา	ʔ oː . r i 3 . j aː
น้ำไหลไฟดับ	n aː m 3 . l a j 4 . f a j . d a p̚ 1
วางแผน	w aː ŋ . pʰ ɛː n 4
อรัญวาสี	ʔ a 1 . r a n . j a 3 . w aː . s iː 4
ไพ่	pʰ a j 2
ทรงกระบอก	s o ŋ . k r a 1 . b ɔː k̚ 1
ผลิ	pʰ l i ʔ 1
กลีบหิน	k l iː p̚ 1 . h i n 4
อนธการ	ʔ o n . tʰ a 3 . k aː n
มอนแทนา	m ɔ n . tʰ ɛː . n aː 2
บึ้ง	b ɯ ŋ 2
การอนุญาต	k aː n . ʔ a 1 . n u 3 . j aː t̚ 2
สำรับ	s a m 4 . r a p̚ 3
ถะ	tʰ a ʔ 1
ธุรกิจ	tʰ u 3 . r a 3 . k i t̚ 1
ตกลง	t o k̚ 1 . l o ŋ
รายปักษ์	r aː j . p a k̚ 1
ไดโนเสาร์	d a j . n oː . s a w 4
โว	w oː
อบ	ʔ o p̚ 1
ราชนาวี	r aː t̚ 2 . t͡ɕʰ a 3 . n aː . w iː
ตกเบ็ด	t o k̚ 1 . b e t̚ 1
คอลลาเจน	kʰ ɔː l . l aː . t͡ɕ e n 1
เยี่ยว	j i a̯ w 2
แห่แหน	h ɛː 1 . h ɛː n 4
สุรา	s u 1 . r aː
มะพร้าว	m a 3 . pʰ r aː w 3
ทำ	tʰ a m
นาคปรก	n aː k̚ 2 . p r o k̚ 1
ไหล่ทวีป	l a j 1 . tʰ a 3 . w iː p̚ 2
กิ๊ก	k i k̚ 3
กองเรือ	k ɔː ŋ . r ɯ a̯
ความปรารถนา	kʰ w aː m . p r aː t̚ 1 . tʰ a 1 . n aː 4
นาที	n aː . tʰ iː
เครื่องลายคราม	kʰ r ɯ a̯ ŋ 2 . l aː j . kʰ r aː m
บัวหลวง	b u a̯ . l u a̯ ŋ 4
แช่	t͡ɕʰ ɛː 2
ข้างนอก	kʰ aː ŋ 2 . n ɔː k̚ 2
คนงาน	kʰ o n . ŋ aː n
รอน ๆ	r ɔː n . r ɔː n
ซิ่ว	s i w 2
อัมพฤกษ์	ʔ a m . m a 3 . pʰ r ɯ k̚ 3
ประธานาธิบดี	p r a 1 . tʰ aː . n aː . tʰ i 3 . b ɔː . d iː
ผัดไทย	pʰ a t̚ 1 . tʰ a j
เต็มที่	t e m . tʰ iː 2
ความชั่วช้า	kʰ w aː m . t͡ɕʰ u a̯ 2 . t͡ɕʰ aː 3
การเงิน	k aː n . ŋ ɤ n
ความสนใจ	kʰ w aː m . s o n 4 . t͡ɕ a j
โมร็อกโก	m oː . r ɔ k̚ 3 . k oː
กาญจนบุรี	k aː n . t͡ɕ a 1 . n a 3 . b u 1 . r iː
ไปมา	p a j . m aː
หำ	h a m 4
เหรียญ	r i a̯ n 4
เฟอร์เมียม	f ɤː . m i a̯ m 2
อีสาน	ʔ iː . s aː n 4
ออกกำลัง	ʔ ɔː k̚ 1 . k a m . l a ŋ
ทุน	tʰ u n
หลับ	l a p̚ 1
น่าเสียดาย	n aː 2 . s i a̯ 4 . d aː j
ขันที	kʰ a n 4 . tʰ iː
เม็ดเลือดแดง	m e t̚ 3 . l ɯ a̯ t̚ 2 . d ɛː ŋ
น่ารำคาญ	n aː 2 . r a m . kʰ aː n
บิณฑบาต	b i n . tʰ a 3 . b aː t̚ 1
ขี้มูก	kʰ iː 2 . m uː k̚ 2
วิวรณ์	w i 3 . w ɔː n
ปรากฏการณ์	p r aː . k o t̚ 1 . t a 1 . k aː n
ประเสริฐ	p r a 1 . s ɤː t̚ 1
รำ	r a m
กุฏิ	k u 1 . t i ʔ 1
ผลักดัน	pʰ l a k̚ 1 . d a n
สถาน	s a 1 . tʰ aː n 4
ปล่องควัน	p l ɔ ŋ 1 . kʰ w a n
ผาสุก	pʰ aː 4 . s u k̚ 1
พี	pʰ iː
มะปราง	m a 3 . p r aː ŋ
ฝักบัว	f a k̚ 1 . b u a̯
รวบ	r u a̯ p̚ 2
เงย	ŋ ɤː j
พุทธ	pʰ u t̚ 3
หัวแม่มือ	h u a̯ 4 . m ɛː 2 . m ɯː
ดักแด้	d a k̚ 1 . d ɛː 2
พรรค	pʰ a k̚ 3
เพิก	pʰ ɤː k̚ 2
หัน	h a n 4
หยัก	j a k̚ 1
ยูโกสลาเวีย	j uː . k oː . s a 1 . l aː . w i a̯
ยา	j aː
หนังใหญ่	n a ŋ 4 . j a j 1
น่านับถือ	n aː 2 . n a p̚ 3 . tʰ ɯː 4
เครื่องประดับ	kʰ r ɯ a̯ ŋ 2 . p r a 1 . d a p̚ 1
แวว	w ɛː w
