1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_132_7_6	เพราะว่า ความหนาแน่น กระแส มีความสำคัญ กับ อัตรา การ กระตุ้น ของ โมเลกุล
1_132_9_1	การ เพิ่มจำนวน อิ เล็ก โถ ด และ การ เพิ่ม พื้นที่ ของ แค โถ ด   มีผล อย่างมาก ต่อ การ เพิ่ม ความหนาแน่น กระแส และ ความสม่ำเสมอ ใน การ ดิส ชาร์จ
1_133_10_2	คณะ วิจัย ได้ ออกแบบ ระบบ จ่ายไฟ แก่ ไดโอด เลเซอร์ เป็น ผลสำเร็จ หาก แต่ ระบบ ที่ ต้องการ ต้อง มี ขนาดเล็ก สามารถ ใช้กับ ถ่านไฟฉาย ได้ดี
1_133_10_4	ในขณะเดียวกัน   ก็ พยายาม แยกตัว ไดโอด ออกจาก วงจร
1_133_10_6	ใน ส่วน ของ ตัว ตรวจจับ สามารถ ยืนยัน จาก การทดลอง ออกแบบ ตัว ตรวจจับ ขึ้น ได้ ว่า   ตัว ตรวจจับ แบบ เปีย โซ อิ เล็ก ตริ ก   แบบ อิ เล็ก โต ร แม็ก เนติ ก   สามารถ ตอบสนอง ได้ดี
1_133_10_7	ส่วน การ วัด ความ เข้มข้น แบบ วัด ตรงนั้น   กล่อง เก็บ น้ำ ใส   ขนาดเล็ก ที่ วาง ขวางทาง ลำแสง ให้ผล ตอบสนอง ที่ ชัดเจน
1_133_24_1	นอกจากนี้   ส่วนประกอบ ที่ ใช้ เปลี่ยน ปริมาณ ทาง ฟิสิกส์ ต่าง ต่าง   เป็นการ ขจัด นั้น   ต้อง ได้รับ การ ออกแบบ ขึ้น เป็นพิเศษ
1_133_25_1	รูป ที่ ห้า   ตัว ตรวจจับ แบบ เปีย โชอิเล็ค ตริ ก ที่ นำมาใช้ ใน การทดลอง
1_133_26_1	นอกจากนี้ ยัง ทดสอบ ระบบ ด้วย ตัว ตรวจจับ แบบ อิ เล็ก โต ร แม็ก เนติ ก ซึ่ง ใช้ ขดลวด เสียง ของ ลำโพง ขนาดเล็ก เป็น เครื่อง ตรวจสอบ
1_133_28_2	เพื่อ ใช้ บรรจุ ของเหลว ขวาง ลำแสง
1_133_28_3	คณะ วิจัย ได้ พยายาม ออกแบบ กล่อง ดังกล่าว ที่ มี รูปร่าง ต่าง ต่างกัน ออก ไป   ดัง รูป ที่ เจ็ด
1_133_33_2	โดย เน้น ถึง ระบบ ที่ มี ขนาดเล็ก สามารถ พกพา ได้ โดยสะดวก
1_133_7_3	แม้ จะ มี ข้อจำกัด ที่ ต้องการ แท่น ปลอด ความสะเทือน และ การจัดระบบ ให้ อยู่ ใน ช่วง พ้อง คลื่น
1_133_9_1	จาก การ เสนอ ผลการวิจัย ใน ครั้ง ที่ผ่านมา นั้น   ได้ ทราบ ชัดเจน ว่า   ไดโอด เลเซอร์ สามารถ ให้ เส้น ลาย สอดแทรก ใน ระดับ ใช้งาน ได้ บน โต๊ะ ทดลอง ทาง แสง ใน ห้องปฏิบัติการ
1_133_9_3	สำหรับ การ วัด อย่าง ได้ ผลงานวิจัย ลำดับ ต่อมา จึง เน้น ที่ การ ออกแบบ ระบบ ให้ มี ขนาดเล็ก พอที่จะ ใช้
1_133_9_5	และ อาจ ลด ขนาด ลง ได้ อีก หาก แต่ ขนาดที่ เล็ก ลง นั้น แม้ ให้ ผลดี ทาง ด้าน ความ เกร็ง ตัว ของ ระบบ
1_134_11_9	ดังนั้น ประโยชน์ ของ การ วิจัยและพัฒนา จะ ได้ ต้นแบบ ส่วนควบคุม เครื่อง กัด แนวดิ่ง ซี เอ็น ซี และ ชุด ฝึก การเรียน การสอน เครื่อง กัด แนวดิ่ง และ เครื่องกลึง ซี เอ็น ซี สำหรับ กอง วิทยาลัย เทคนิค   กรมอาชีวศึกษา   ที่ มีราคา ถูก กว่า ต่างประเทศ และ ดูแลรักษา ได้ ง่าย
1_134_13_5	ใน ส่วน โครงการ ใน ระยะ ที่สาม   พยายาม จะ สร้าง ต้นแบบ ระบบ ขับเคลื่อน   คือ   มอเตอร์ และ ส่วน ขับ มอเตอร์   พร้อมทั้ง ระบบ เปลี่ยน ใบ มีด อัตโนมัติ
1_134_16_3	และ ส่วน อิเล็กทรอนิกส์ เปลี่ยน ใส่ เข้าไป แล้ว แก้ไข ตัวแปร ต่าง ต่าง   จน ประสบความสำเร็จ ด้วยดี
1_134_19_5	ใน ส่วน ระบบ ไฟฟ้า ได้ ทำการ เลือก ระบบ ควบคุม การ เคลื่อนที่ ของ เครื่องจักรกล
1_134_31_1	ระยะ เคลื่อนที่ ของ โต๊ะ งาน ใน แนว แกน
1_134_36_1	ระบบ ขับเคลื่อน   สาม   แนว แกน เป็น ดี ซี เซอร์ โว มอเตอร์
1_134_60_8	และ ใน การผลิต เชิงการค้า สามารถ จะ สร้าง ขาย ได้ ประมาณ   ห้าสิบ   เครื่อง ต่อ ปี
1_134_62_1	เมื่อ จบ โครงการ ใน ระยะเวลา   หนึ่ง   ปี   จะ ได้ ต้นแบบ ชุด ฝึก เครื่อง กัด แนวดิ่ง และ เครื่องกลึง ซี เอ็น ซี ที่ มี โครงสร้าง และ การทำงาน ทาง ด้าน เครื่องจักรกล และ ไฟฟ้า เหมือน ระบบ จริง ที่ มี การใช้งาน ใน อุตสาหกรรม
1_135_10_1	งาน วิจัยและพัฒนา   ระบบ ควบคุม การทำงาน ของ รถไฟฟ้า   ซึ่ง ถือได้ว่า เป็น ส่วน ที่ มีความสำคัญ อย่างยิ่ง สำหรับ ระบบ รถไฟฟ้า ใน การ ควบคุม การทำงาน ของ มอเตอร์ ไฟฟ้า   และ การ ใช้ พลังงาน จาก แบตเตอรี่ ใน สภาวะ ต่าง ต่าง   ได้ อย่างเหมาะสม และ มีประสิทธิภาพ สูงสุด
1_135_27_1	ระบบ จ่าย กำลัง ใน บล็อค ที่ เก้า   ที่ สร้าง ขึ้น เพื่อ ทดสอบ นั้น เป็นระบบ จ่าย กำลัง แบบ   สอง   ควอ แด รน ท์ ดี ซี   ดี ซีคอน เวอท เต อร ์
1_135_27_11	การ ใช้ คำสั่ง   เบรก หนึ่ง จุด สอง   เมื่อ ต้องการ ลด ความเร็ว   หรือ หยุด ด้วย การ เบรค
1_135_27_3	ใน การ ขับเคลื่อน ใน ควอ แด รน ท์   ที่หนึ่ง   ระบบ ควบคุม จะ ได้รับ คำสั่ง จาก คันเร่ง หนึ่ง จุด หนึ่ง   ที่ เป็น ตัวกำหนด ค่า ความเร็ว อ้างอิง
1_135_27_6	ตัวควบคุม ความเร็ว แบบ   พี ไอ สอง   จะ ทำหน้าที่   กำหนด สัญญาณ กระแส อ้างอิง ให้ กับ ลูป ควบคุม กระแส
1_135_27_7	โดย มี ตัวควบคุม กระแส แบบ อะ แด พ ที พ   พี ไอ สาม   ทำหน้าที่ ควบคุม กระแส อา เมเจอร์ ให้ มีค่า ตาม กระแส อ้างอิง
1_135_27_8	ทั้งนี้ เพื่อที่จะ รักษา และ ควบคุม ความเร็ว ไว้ ให้ได้ ตาม ค่า ความเร็ว อ้างอิง ที่ กำหนด จาก คันเร่ง
1_135_29_1	รูป ที่สอง   แสดง บล็อค ได อะ แก รม ของ ระบบ ควบคุม ความเร็ว ของ มอเตอร์ ไฟฟ้ากระแสตรง แบบ เคส เคด สอง
1_135_29_4	เช่นเดียวกัน การ ควบคุม ใน ลูป หลัก   ด้วย ตัวควบคุม แบบ พี ไอ จะ ทำหน้าที่ รักษา และ ควบคุม   ความเร็ว ของ มอเตอร์ เป็นไปตาม ค่า ความเร็ว อ้างอิง ทั้ง ใน สภาวะ ไร้ โหลด จนถึง ค่า พิกัด โหลด
1_135_31_1	ใน การ วิเคราะห์ เพื่อ ออกแบบ ระบบ ควบคุม แบบ เคส เคด นั้น จะ เริ่ม จาก ลูป รอง ออก ไปหา ลูป หลัก
1_135_31_2	และ การ ออฟ ติ ไมซ์ ระบบ ควบคุม ใน แต่ละ ลูป นั้น ก็ สามารถ กระ ทำได้ โดยง่าย
1_135_52_1	จาก รูป ที่สี่   เมื่อ พิจารณา ให้สัญญาณ ป้อน กลับ   จาก ไดนามิกส์ โมเดล   มีผล ของ การ ตอบสนอง ไม่ แตกต่าง ไป จาก สัญญาณ ป้อน กลับ   ด้วย ตัว เซนเซอร์ ความเร็ว
1_135_59_1	รูป ที่ ห้า   ไดนามิกส์ โมเดล   ที่ ใช้ ใน การคำนวณ ค่า ความเร็ว ป้อน กลับ
1_135_61_1	สี่ จุด หนึ่ง   การ ทดสอบ   การทำงาน ของ ระบบ จ่าย กำลัง   ดี ซี   ดี ซีคอน เวอท เต อร ์ ใน การ ควบคุม ความเร็ว ของ มอเตอร์ ไฟฟ้ากระแสตรง แบบ อนุกรม
1_135_65_2	โดย เปรียบเทียบ การ ตอบสนอง ของ ระบบ ควบคุม ที่ ใช้ สัญญาณ ป้อน กลับ จาก การคำนวณ ด้วย ไดนามิกส์ โมเดล เทียบ กับ การ ควบคุม
1_135_69_1	รูป ที่ สิบ   ผล การ ตอบสนอง ของ ระบบ ควบคุม ต่อ สัญญาณ คำสั่ง และ การ ตอบสนอง ต่อ ส เต ป โหลด ของ ระบบปิด ลูป ด้วย สัญญาณ ป้อน กลับ จาก ตัว เซนเซอร์
1_135_6_3	โดยที่ สัญญาณ ป้อน กลับ ใน ลูป ควบคุม ความเร็ว ได้ จาก การคำนวณ ผ่าน ไดนามิกส์ โมเดล ของ มอเตอร์   แทน ระบบ ควบคุม ปกติ ที่ ใช้ สัญญาณ ป้อน กลับ จาก ตัว เซนเซอร์   ที่ ติดตั้ง โดยตรง ไว้ ที่ แกน เพลา ของ มอเตอร์
1_135_6_5	ดังนั้น ความถูกต้อง ของ ค่าที่ ได้ จาก การคำนวณ นอกจาก จะ ขึ้นอยู่กับ ค่า พารามิเตอร์ ที่ ใช้ ใน แบบจำลอง   มีค่า ถูกต้อง หรือ เป็น ค่าที่ ใช้ เป็นตัวแทน ของ ระบบ จริง ใน ทุก สภาวะ เงื่อนไข ของ การทำงาน ได้
1_135_6_6	ยัง ขึ้นอยู่กับ ผลกระทบ ภายใน ของ มอเตอร์   เช่น   อา เมเจอร์ รี แอก ชัน   และ ผลกระทบ ภายนอก ที่เกิด จาก โหลด อีก ประการหนึ่ง ด้วย
1_135_71_2	โดย ทดสอบ เปรียบเทียบ ระหว่าง ระบบ ควบคุม แบบ ปิด ลูป   ด้วย สัญญาณ ป้อน กลับ จาก ไดนามิกส์ โมเดล และ การ ป้อน กลับ จาก ตัว เซนเซอร์
1_135_7_3	เบี่ยงเบน มากกว่า ซึ่ง ยังผล ให้การ ตอบสนอง ต่อ ผลกระทบ ของ ส เต ป โหลด ของ ระบบ ควบคุม ป้อน กลับ จาก ไดนามิกส์ โมเดล มีค่า เวลา ควบคุม
1_135_9_7	แต่ ข้อเสีย คือ แหล่ง พลังงานไฟฟ้า ที่ ใช้ ส่วนใหญ่ คือ แบตเตอรี่   ซึ่ง ยัง มีปัญหา เรื่อง ขนาด น้ำหนัก ข้อจำกัด ใน การใช้งาน   และ อื่น อื่น
1_135_9_9	ก่อนที่จะ สามารถ ผลิต พาหนะ ที่ ขับเคลื่อนด้วย ไฟฟ้า หรือ รถไฟฟ้า ที่ มี คุณภาพ และ สมรรถนะ สูง   ออกมา ใช้ได้ จริง   ที่ สามารถ เทียบเคียง ได้ กับ การ ขับเคลื่อน จาก เครื่องยนต์
1_136_14_4	ทางเลือก ของ อุตสาหกรรม ขนาดเล็ก และ กลาง คือ การ ดัดแปลง เครื่องจักร ที่ ควบคุม ด้วย คน มา เป็นระบบ อัตโนมัติ หรือ กึ่ง อัตโนมัติ
1_136_17_1	ประเทศไทย ได้ พัฒนา อุตสาหกรรม ขึ้น เป็นลำดับ จน ขณะนี้ ทั้ง ภาครัฐ   และ ภาคเอกชน ต่าง ก็ มี ความเชื่อมั่น ว่า การพัฒนา ไป สู่ การ เป็น ประเทศอุตสาหกรรม ใหม่ นั้น   เป็น แนวทาง ที่ ถูกต้อง
1_136_17_11	ตลาด   พี   แอล   ซี   จึง เป็น ตลาด ที่ มีแนวโน้ม ดีมาก   ทั้ง ใน ปัจจุบัน และ อนาคต
1_136_17_3	แต่ เมื่อ ประเทศ พัฒนา มากขึ้น ค่า จ้างแรงงาน มีแนวโน้ม สูง ขึ้น อย่างรวดเร็ว
1_136_17_9	ทางออก ที่ อุตสาหกรรม ขนาดเล็ก และ ขนาด กลาง กำลัง ใช้ กัน อยู่ คือ การนำ เครื่องจักร ที่ ควบคุม ด้วย คน มา ดัดแปลง เป็นระบบ อัตโนมัติ   หรือ กึ่ง อัตโนมัติ
1_136_18_3	เทคโนโลยี การ ออกแบบ และ ผลิต เครื่อง ควบคุม แบบ   พี   แอล   ซี   นั้น เป็น เทคโนโลยี ที่ ไม่ยาก
1_136_18_5	ซี   พี   ยู   ตระกูล นี้ มี คุณสมบัติ เหมาะสม อย่างยิ่ง ที่จะ นำมาใช้ ใน เครื่อง ควบคุม แบบ   พี   แอล   ซี
1_136_21_1	งานวิจัย นี้ มี วัตถุประสงค์ เพื่อ ออก แบบสร้าง และ พัฒนา ต้นแบบ เครื่อง ควบคุม แบบ   พี   แอล   ซี ที่ มี คุณสมบัติ เหมาะสม แก่ การ นำไปใช้ ใน งาน ควบคุม อัตโนมัติ ใน อุตสาหกรรม
1_136_23_2	เพื่อ หา ข้อมูล เบื้องต้น ว่า   เครื่อง ควบคุม   พี   แอล   ซี   น่าจะ เหมาะสม กับ การใช้งาน ใน อุตสาหกรรม ของ ประเทศ นั้น   ควรจะ มี คุณสมบัติ เช่นใด
1_136_24_1	นอกจากนี้ ยัง ได้ ทำ การศึกษา เปรียบเทียบ คุณสมบัติ ของ เครื่อง ควบคุม แบบ   พี   แอล   ซี   ที่ ผลิต จาก ต่างประเทศ และ เป็นที่นิยม ใช้ ในประเทศ หลาย ยี่ห้อ
1_136_25_1	จาก การสำรวจ และ ศึกษา เปรียบเทียบ ดังกล่าวข้างต้น   คณะ ผู้วิจัย จึง ได้ วาง ข้อกำหนด เกี่ยวกับ คุณสมบัติ ที่ ต้องการ ของ เครื่อง ควบคุม แบบ   พี   แอล   ซี   ที่จะ ทำการ ออก แบบสร้าง และ พัฒนา ขึ้น
1_136_32_1	จาก วงจร เดิม ได้ ปรับปรุง สาย สัญญาณ ที่ ต่อไป ยัง จัมพ์ เปอร์ ให้ เหลือ เพียง   สี่ สิบ   เส้น
1_136_35_4	สำหรับ การ ต่อ ขยาย เอาต์พุต ของ   พี   แอล   ซี   สามารถ ทำได้ โดย นำ ขา สัญญาณ หมายเลข พอร์ต หมายเลข อื่น อื่น   ที่ ต่อ มาจาก บอร์ด   ซี   พี   ยู   นำมา ต่อ วงจร ลักษณะ เดียว กับ วงจร รูป ที่สอง
1_136_4_1	นาย นิพนธ์   เลิศ มโน กุล   คอ ออ มอ   สถาบันเทคโนโลยีราชมงคล   วิทยาเขต ภาคพายัพ
1_136_5_1	นาง สนิท นาถ   เลิศ มโน กุล   คอ ออ บอ   สถาบันเทคโนโลยีราชมงคล   วิทยาเขต ภาคพายัพ
1_136_60_1	รูป ที่ แปด   โฟล ชาร์ต ของ ลักษณะ โปรแกรม มอนิเตอร์
1_136_62_1	โครงสร้าง ของ โปรแกรม ภาษา แล ด เด อร ์ ที่ เขียน บน   ไมโครคอมพิวเตอร์ เขียน เป็น โฟลว์ ชาร์ต ได้ ดัง รูป ที่ เก้า
1_136_65_3	ส่วน ทาง ด้าน ซอฟต์แวร์ ได้ เริ่ม เขียน ไป บางส่วน แล้ว   ประมาณ   สี่ สิบ เปอร์เซ็นต์   คิด เป็น ผลงาน ที่ ดำเนินการ ไป แล้ว ทั้งหมด ประมาณ   สี่ สิบ เปอร์เซ็นต์   การ ดำเนินการ ใน ขั้น นี้ ไม่มีปัญหา   และ   อุปสรรค แต่อย่างใด
1_136_68_2	และ ขอ ขอบพระคุณ ภาควิชา วิศวกรรมไฟฟ้า   คณะวิศวกรรมศาสตร์   มหาวิทยาลัยเชียงใหม่ ที่ อนุญาต ให้ ใช้ สถานที่ และ เครื่องมือ เพื่อ ดำเนิน การวิจัย ใน โครงการ นี้
1_136_76_1	เจ็ด   สมพงศ์   ฉัตร แสง อุทัย   การพัฒนา ตัวควบคุม แบบ ลำดับ ที่ โปรแกรม ได้ ขนาดเล็ก   วิทยานิพนธ์ วิศวกรรมศาสตรมหาบัณฑิต   บัณฑิต วิทยาลัย   จุฬาลงกรณ์ มหาวิทยาลัย   สอง พัน ห้า ร้อย สาม สิบสอง
1_136_77_1	แปด   สิทธิ พร   ประวัติ รุ่งเรือง   เครื่อง ควบคุม ที่ โปรแกรม ได้ ชนิด ที่ มี ความสามารถ ด้าน จัดการ ข้อมูล   วิทยานิพนธ์ วิศวกรรมศาสตรมหาบัณฑิต   บัณฑิต วิทยาลัย   จุฬาลงกรณ์ มหาวิทยาลัย   สอง พัน ห้า ร้อย สามสิบ สาม
1_136_78_1	เก้า   ศิ ริ ชัย   ลา ภา สระ น้อย   และ   คณะ   การ ออกแบบ อิเลค ทรอ นิ กส์ เพื่อ อุตสาหกรรม   ภาคนิพนธ์   ภาควิชา วิศวกรรมไฟฟ้า   มหาวิทยาลัยเชียงใหม่   สอง พัน ห้า ร้อย สามสิบ หก
1_137_13_11	โดย เริ่ม จาก การศึกษา ลักษณะ ของ สัญญาณ และ รูปแบบ ของ ข้อมูล ของ ระบบ เท เลเท็กซต์ ที่ ออกอากาศ
1_137_18_3	ส่วน แถว ที่หนึ่ง ถึง ยี่สิบ สาม   จะ แสดง ข้อมูล ของ แต่ละ แถว ใน หน้า นั้น   ดัง แสดง ใน รูป ที่สี่
1_137_21_4	แบบ ของ การ แสดงผล มี ได้ หลาย แบบ ได้แก่   การ แสดงผล ตัวอักษร การ แสดงผล กราฟิก การแสดง สี ของ ตัวอักษร และ การ เปลี่ยนสี พื้น   เป็นต้น
1_137_26_4	ซึ่ง เพียงพอ สำหรับ เก็บ สัญลักษณ์ ของ ตัวอักษร ใน ภาษาไทย   ภาษาอังกฤษ และ ตัว บล็อก กราฟิก
1_137_27_1	ส่วนสำคัญ อีก ส่วนหนึ่ง ที่ เป็น สิ่งประดิษฐ์ ใหม่ ใน เครื่อง ถอดรหัส เท เลเท็กซต์ รุ่น นี้ คือ   ซอฟต์แวร์ ควบคุม ใน ไมโคร คอนโทรลเลอร์
1_137_4_1	ห้องปฏิบัติการวิจัย ระบบ เชิงเลข   จุฬาลงกรณ์ มหาวิทยาลัย
1_137_6_2	ระบบ นี้ ให้ ผู้ชม เรียก หน้า ข้อความ จำนวน หลาย ร้อย หน้า มา แสดง แทน รายการ ปกติ ได้
1_137_6_5	การ รับ ชม ข้อมูล เหล่านี้ จะ ต้อง ใช้ เครื่องรับ โทรทัศน์ ที่ ดัดแปลง โดยเฉพาะ หรือ ใช้ อุปกรณ์ ที่ เรียก ว่า   เครื่อง ถอดรหัส เท เลเท็กซต์   ซึ่ง จะ ถอดรหัส สัญญาณ เท เลเท็กซต์ และ แสดง หน้า ข้อความ ที่ ต้องการ ได้
1_137_7_1	ประเทศไทย มี การ ให้บริการ เท เลเท็กซต์ โดย ไม่ คิด มูลค่า ทาง ช่อง ห้า   มา นาน กว่า   สี่   ปี แล้ว
1_137_7_2	ระบบ นี้ ให้ ข้อมูล ต่าง ต่าง   เช่น   ราคา หุ้น   อัตราแลกเปลี่ยน เงินตรา   และ ข้อมูล การท่องเที่ยว
1_137_7_5	ปัจจุบัน ผู้ชม จึง ต้อง ซื้อ เครื่อง ถอดรหัส เท เลเท็กซต์ ไทย   อังกฤษ   ที่ พัฒนา จาก ต่างประเทศ ใน ราคา ที่สูง กว่า เครื่องรับ โทรทัศน์ ธรรมดา
1_137_7_6	จึง อาจ เป็นสาเหตุ ที่ เท เลเท็กซต์ ไม่ ได้รับ ความสนใจ จาก มหาชน เร็ว เท่าที่ควร
1_137_8_5	เพื่อให้ ง่าย ต่อ การผลิต วงจร รวม ขนาดใหญ่   เช่น   ไมโคร คอนโทรลเลอร์   ตัวควบคุม ระยะไกล และ วงจร รวม เฉพาะทาง   จะ ถูก นำมาใช้ เพื่อ ลด จำนวน อุปกรณ์
1_137_9_1	เท เลเท็กซต์ เป็น สื่อ แบบ หนึ่ง ที่ สามารถ ไป ถึง สาธารณชน ได้ เกือบ ทุกที่ แม้กระทั่ง ที่อยู่ ไกล ไกล
1_137_9_5	ผู้ผลิต เครื่องรับ โทรทัศน์ ในประเทศ ก็ สามารถ อาศัย ความรู้ ต่าง ต่าง   ที่ เกิดขึ้น ใน การผลิต เครื่องรับ โทรทัศน์ รุ่นใหม่ ที่ มี วงจร ถอดรหัส เท เลเท็กซต์ อยู่ ภายใน ได้ ด้วย
1_138_12_1	หนึ่ง   ส่วน ที่ เป็น แบบทดสอบ   เป็น ข้อสอบ   สำหรับ การ ทดสอบ ชนิด สรุป ผลการเรียน ใน แต่ละ บท ซึ่ง มี ข้อสอบ อยู่   สอง   ประเภท   คือ   ประเภท เลือก ตอบ ชนิด   สี่   ตัวเลือก   และ ประเภท ผิด ถูก
1_138_14_1	ใน การ เลือก ภาษาคอมพิวเตอร์ ที่ เหมาะ สมใน การพัฒนา โปรแกรมคอมพิวเตอร์ ช่วย สอน สำหรับ วิชา หลัก อิเล็กทรอนิกส์ เบื้องต้น นี้
1_138_14_12	ซึ่ง ทำให้ รู้สึก ผิดปกติ อยู่ บ้าง เวลา นำไปใช้ สำหรับ ผู้วิจัย ที่ คุ้นเคย กับ ภาษาคอมพิวเตอร์ ที่ เป็น ภาษาอังกฤษ
1_138_14_3	เพราะ ภาษาคอมพิวเตอร์   เช่น   ภาษาซี ที่ ผู้วิจัย ถนัด   ไม่ สามารถ จะ ทำ อักษร ไทย แบบ และ ขนาด ต่าง ต่าง   ได้
1_138_14_4	ซึ่ง หาก พัฒนา ที่ ส่วน นี้ ต้อง ใช้เวลานาน และ อยู่ นอกเหนือ วัตถุประสงค์ ของ การวิจัย
1_138_17_2	ซึ่ง เมื่อ เริ่มต้น ใช้ จะ มี คำแนะนำ ทั่วไป   และ ให้ ผู้ใช้ กรอก ชื่อ   สกุล
1_138_17_3	จากนั้น จะ นำ สู่ เมนู เลือก บทเรียน ที่จะ ทำ ข้อสอบ
1_138_21_1	ส่วน แบบเรียน โปรแกรม ชนิด ทบทวน และ ฝึก ปฏิบัติ นั้น จะ เริ่มต้น ด้วย การ ให้ ผู้เรียน เลือก หัวข้อ ที่จะ เรียน
1_138_21_6	หรือ จะ ข้าม ไป เฟรม ต่อไป ได้ เลย
1_138_23_2	ปัญหา เบื้องต้น คือ   บทเรียน คอมพิวเตอร์ ต้อง มี ตัวอักษร และ ภาพ ที่ สวยงาม   การ ออกแบบ หน้าจอ ตลอด จนถึง วิธีการ ออกแบบ การโต้ตอบ กับ เครื่อง ต้อง เหมาะสม
1_138_23_5	ผู้ทำ ต้อง รู้ ทั้ง เนื้อหาวิชา นั้น   รู้ ภาษาคอมพิวเตอร์ หรือ ซอฟท์แวร์ ที่จะ ใช้   และ รู้ วิธีการ นำเสนอ บทเรียน
1_138_25_2	ขอ ขอบคุณ   นักศึกษา คณะวิทยาศาสตร์ และ เทคโนโลยี   นักศึกษา วิชาเอก ฟิสิกส์ คณะศึกษาศาสตร์   มหาวิทยาลัยสงขลานครินทร์   วิทยาเขต ปัตตานี   ที่ ได้ ทดลองใช้ โปรแกรมคอมพิวเตอร์ ช่วย สอน ที่ ได้ พัฒนา ขึ้น มา นี้   และ ได้ ให้ ข้อเสนอแนะ หลาย หลาย   อย่าง
1_138_5_1	โปรแกรมคอมพิวเตอร์ ช่วย สอน วิชา หลัก อิเล็กทรอนิกส์ เบื้องต้น ได้ พัฒนา ขึ้น มา เป็น สอง ส่วน   คือ   ส่วน แรก เป็น แบบทดสอบ ประเภท เลือก ตอบ ชนิด   สี่   ตัวเลือก และ ชนิด ถูก ผิด   ส่วน ที่สอง เป็น บทเรียน ชนิด บทเรียน โปรแกรม
1_138_5_3	ส่วน บทเรียน แบบ โปรแกรม นั้น   ได้ พัฒนา บทเรียน ใน ลักษณะ ฝึก ปฏิบัติ ที่ ผู้ใช้ สามารถ จะ เลือก บทเรียน ที่ สนใจ ได้
1_138_5_7	โปรแกรมคอมพิวเตอร์ ส่วน ที่ เป็น ข้อสอบ   พัฒนา ด้วย ซอฟท์แวร์ กราฟฟิก ไทย โชว์ เวอร์ชั่น สาม   และ ส่วน ของ บทเรียน พัฒนา ภายใต้ ไมโครซอฟท์ วินโดวส์ สาม จุด หนึ่ง ไทย เอ ดิ ชั่น
1_138_7_4	ความรู้ จะ ถูก ส่งผ่าน จาก แหล่งกำเนิด หรือ ผู้สอน ไป ยัง เป้าหมาย   คือ   ผู้เรียน การสอน เป็น การสื่อสาร ชนิด หนึ่ง ซึ่ง สารสนเทศ หรือ ข้อมูลข่าวสาร   หรือ แหล่ง
1_138_8_1	จะ เห็น ว่า โปรแกรมคอมพิวเตอร์ นั้น   จะ ได้ผล คล้าย กับ ครูผู้สอน มาก หาก ออกแบบ โปรแกรม ให้ เหมาะสม
1_138_9_10	จึง จำเป็นต้อง รีบเร่ง พัฒนา โปรแกรมคอมพิวเตอร์ ช่วย สอน ใน แต่ละ สาขาวิชา อย่างรีบด่วน
1_138_9_11	เพราะ บทเรียน คอมพิวเตอร์ นอกจาก จะ ทำให้ นักศึกษา ใช้ เสริม การเรียน แล้ว
1_138_9_3	ฉะนั้น นักศึกษา ที่ ศึกษา ทางวิทยาศาสตร์ และ เทคโนโลยี จึง จำเป็นต้อง เรียนรู้ วิชา อิเล็กทรอนิกส์ เบื้องต้น   อย่างน้อย   หนึ่ง ถึง สอง   รายวิชา
1_138_9_4	และ การเรียน วิชา อิเล็กทรอนิกส์ นั้น นอกจาก การเรียน การสอน ใน ห้องเรียน และ ปฏิบัติการ ใน ห้องปฏิบัติการ แล้ว นักศึกษา จะ ไม่มี แหล่ง ค้นคว้า และ ทำ แบบฝึกหัด อื่น อื่น   ยกเว้น ตำรา ใน ห้องสมุด   ซึ่ง ตำรา ภาษาไทย ยังมี น้อย มาก
1_138_9_5	ดังนั้น   โปรแกรม บทเรียน คอมพิวเตอร์ จะ สามารถ เสริม การเรียน การสอน วิชา อิเล็กทรอนิกส์ ได้ เป็น อย่างดี
1_139_11_15	นอกจากนั้น ข้อมูล จะ ถูก เก็บ ลง ใน แผ่น ดิ สเก็ต ใน รูป ของ แฟ้มข้อมูล ที่ สามารถ นำมา ประมวลผล โดย โปรแกรม ต่าง ต่าง   ได้
1_139_11_4	วัดอุณหภูมิ อากาศ ที่ ระดับความสูง   ห้า   และ   หนึ่งร้อย   เซนติเมตร   จาก ผิว ดิน   และ อุณหภูมิ ดิน ที่ ระดับ ความลึก   สิบห้า   เซนติเมตร
1_139_13_1	สถานี ตรวจ อากาศ ทาง การเกษตร ที่ กระจาย อยู่ ทั่วไป ตาม สถานี ทดลอง หรือ สถานศึกษา ต่าง ต่าง   จะ ตรวจวัด ค่า ทาง ภูมิอากาศ ได้แก่   ปริมาณน้ำฝน   ความชื้น ใน อากาศ   อุณหภูมิ   ทิศทาง และ ความเร็ว ลม   แสง   ปริมาณ การ ระเหย น้ำ
1_139_13_4	การจด ข้อมูล จาก เครื่องมือวัด ต่าง ต่าง   มัก กระทำ โดย เจ้าหน้าที่ ทำ ให้การ เก็บข้อมูล เป็นไป อย่าง ไม่ ต่อเนื่อง สิ้นเปลือง แรงงาน
